modele,mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb,transmission,moteur,carburateur,cylindres,performance,consommation_l_100
Mazda RX4,21,6,160,110,3.9,2.62,16.46,0,1,4,4,Manuelle,V,4,6,41.98473282442748,11.200476190476191
Mazda RX4 Wag,21,6,160,110,3.9,2.875,17.02,0,1,4,4,Manuelle,V,4,6,38.26086956521739,11.200476190476191
Datsun 710,22.8,4,108,93,3.85,2.32,18.61,1,1,4,1,Manuelle,Ligne,1,4,40.08620689655173,10.31622807017544
Hornet 4 Drive,21.4,6,258,110,3.08,3.215,19.44,1,0,3,1,Automatique,Ligne,1,6,34.214618973561436,10.991121495327103
Hornet Sportabout,18.7,8,360,175,3.15,3.44,17.02,0,0,3,2,Automatique,V,2,8,50.872093023255815,12.57807486631016
Valiant,18.1,6,225,105,2.76,3.46,20.22,1,0,3,1,Automatique,Ligne,1,6,30.346820809248555,12.995027624309392
Duster 360,14.3,8,360,245,3.21,3.57,15.84,0,0,3,4,Automatique,V,4,8,68.62745098039215,16.44825174825175
Merc 240D,24.4,4,146.7,62,3.69,3.19,20,1,0,4,2,Automatique,Ligne,2,4,19.435736677115987,9.639754098360656
Merc 230,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,Automatique,Ligne,2,4,30.158730158730158,10.31622807017544
Merc 280,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4,Automatique,Ligne,4,6,35.75581395348837,12.250520833333335
Merc 280C,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4,Automatique,Ligne,4,6,35.75581395348837,13.214044943820225
Merc 450SE,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3,Automatique,V,3,8,44.22604422604422,14.342073170731709
Merc 450SL,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3,Automatique,V,3,8,48.257372654155496,13.595953757225434
Merc 450SLC,15.2,8,275.8,180,3.07,3.78,18,0,0,3,3,Automatique,V,3,8,47.61904761904762,15.47434210526316
Cadillac Fleetwood,10.4,8,472,205,2.93,5.25,17.98,0,0,3,4,Automatique,V,4,8,39.04761904761905,22.616346153846155
Lincoln Continental,10.4,8,460,215,3,5.424,17.82,0,0,3,4,Automatique,V,4,8,39.63864306784661,22.616346153846155
Chrysler Imperial,14.7,8,440,230,3.23,5.345,17.42,0,0,3,4,Automatique,V,4,8,43.03086997193639,16.000680272108845
Fiat 128,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,Manuelle,Ligne,1,4,29.999999999999996,7.259567901234568
Honda Civic,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2,Manuelle,Ligne,2,4,32.19814241486068,7.73717105263158
Toyota Corolla,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1,Manuelle,Ligne,1,4,35.42234332425068,6.938348082595871
Toyota Corona,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1,Automatique,Ligne,1,4,39.350912778904664,10.94
Dodge Challenger,15.5,8,318,150,2.76,3.52,16.87,0,0,3,2,Automatique,V,2,8,42.61363636363637,15.17483870967742
AMC Javelin,15.2,8,304,150,3.15,3.435,17.3,0,0,3,2,Automatique,V,2,8,43.66812227074236,15.47434210526316
Camaro Z28,13.3,8,350,245,3.73,3.84,15.41,0,0,3,4,Automatique,V,4,8,63.802083333333336,17.68496240601504
Pontiac Firebird,19.2,8,400,175,3.08,3.845,17.05,0,0,3,2,Automatique,V,2,8,45.51365409622887,12.250520833333335
Fiat X1-9,27.3,4,79,66,4.08,1.935,18.9,1,1,4,1,Manuelle,Ligne,1,4,34.10852713178294,8.615750915750915
Porsche 914-2,26,4,120.3,91,4.43,2.14,16.7,0,1,5,2,Manuelle,V,2,4,42.523364485981304,9.046538461538463
Lotus Europa,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2,Manuelle,Ligne,2,4,74.68605419695969,7.73717105263158
Ford Pantera L,15.8,8,351,264,4.22,3.17,14.5,0,1,5,4,Manuelle,V,4,8,83.2807570977918,14.886708860759493
Ferrari Dino,19.7,6,145,175,3.62,2.77,15.5,0,1,5,6,Manuelle,V,6,6,63.17689530685921,11.939593908629442
Maserati Bora,15,8,301,335,3.54,3.57,14.6,0,1,5,8,Manuelle,V,8,8,93.83753501400561,15.680666666666667
Volvo 142E,21.4,4,121,109,4.11,2.78,18.6,1,1,4,2,Manuelle,Ligne,2,4,39.20863309352518,10.991121495327103
